# Pin Layout Report generated from PACE version M.81d
# Design: C:\Elec\oufffteam\2011\Balises IR\cpld\Rx_cpld\RX_cpld.ucf
# Device: xc2c128-VQ100-6
# Report generated on Sunday 02/20/11 14:29:28 GMT
Pin Number,Pin Name,Signal Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Diff Type,Diff Pair,Swap Group
P26,VCC,,,,,,,,,,,
P27,IO_GCK2,,,,,,,,,,,
P28,IO_DGE,ADR<8>,Input,,BANK1,,,,,,,
P29,IO,PIC_Rx,Output,,BANK1,,,,,,,
P30,IO,,,,,,,,,,,
P31,GND,,,,,,,,,,,
P32,IO,,,,,,,,,,,
P33,IO,,,,,,,,,,,
P34,IO,,,,,,,,,,,
P35,IO,,,,,,,,,,,
P36,IO,,,,,,,,,,,
P37,IO,,,,,,,,,,,
P38,VCCIO,,,,,,,,,,,
P39,IO,,,,,,,,,,,
P40,IO,TSOP2<7>,Input,,BANK1,,,,,,,
P41,IO,TSOP1<7>,Input,,BANK1,,,,,,,
P42,IO,TSOP2<6>,Input,,BANK1,,,,,,,
P43,IO,TSOP1<6>,Input,,BANK1,,,,,,,
P44,IO,,,,,,,,,,,
P45,TDI,,,,,,,,,,,
P46,IO,,,,,,,,,,,
P47,TMS,,,,,,,,,,,
P48,TCK,,,,,,,,,,,
P49,IO,TSOP2<5>,Input,,BANK1,,,,,,,
P50,IO,TSOP1<5>,Input,,BANK1,,,,,,,
P25,GND,,,,,,,,,,,
P51,VCCIO,,,,,,,,,,,
P24,IO_CDR,ADR<7>,Input,,BANK1,,,,,,,
P52,IO,,,,,,,,,,,
P23,IO_GCK1,ADR<6>,Input,,BANK1,,,,,,,
P53,IO,TSOP2<4>,Input,,BANK1,,,,,,,
P22,IO_GCK0,CLK,Input,,BANK1,,,,,,,
P54,IO,TSOP1<4>,Input,,BANK1,,,,,,,
P21,GND,,,,,,,,,,,
P55,IO,,,,,,,,,,,
P20,VCCIO,,,,,,,,,,,
P56,IO,,,,,,,,,,,
P19,IO,,,,,,,,,,,
P57,VCC,,,,,,,,,,,
P18,IO,ADR<5>,Input,,BANK1,,,,,,,
P58,IO,,,,,,,,,,,
P17,IO,ADR<4>,Input,,BANK1,,,,,,,
P59,IO,,,,,,,,,,,
P16,IO,ADR<3>,Input,,BANK1,,,,,,,
P60,IO,,,,,,,,,,,
P15,IO,ADR<2>,Input,,BANK1,,,,,,,
P61,IO,,,,,,,,,,,
P14,IO,ADR<1>,Input,,BANK1,,,,,,,
P62,GND,,,,,,,,,,,
P13,IO,ADR<0>,Input,,BANK2,,,,,,,
P63,IO,,,,,,,,,,,
P12,IO,,,,,,,,,,,
P64,IO,,,,,,,,,,,
P11,IO,TSOP1<2>,Input,,BANK2,,,,,,,
P65,IO,,,,,,,,,,,
P10,IO,,,,,,,,,,,
P66,IO,TSOP2<11>,Input,,BANK2,,,,,,,
P9,IO,TSOP2<2>,Input,,BANK2,,,,,,,
P67,IO,TSOP1<11>,Input,,BANK2,,,,,,,
P8,IO,TSOP1<3>,Input,,BANK2,,,,,,,
P68,IO,TSOP2<10>,Input,,BANK2,,,,,,,
P7,IO,TSOP2<3>,Input,,BANK2,,,,,,,
P69,GND,,,,,,,,,,,
P6,IO,TSOP1<0>,Input,,BANK2,,,,,,,
P70,IO,TSOP1<10>,Input,,BANK2,,,,,,,
P5,VAUX,,,,,,,,,,,
P71,IO,TSOP2<9>,Input,,BANK2,,,,,,,
P4,IO_GTS1,,,,,,,,,,,
P72,IO,TSOP1<9>,Input,,BANK2,,,,,,,
P3,IO_GTS0,TSOP2<0>,Input,,BANK2,,,,,,,
P73,IO,TSOP2<8>,Input,,BANK2,,,,,,,
P2,IO_GTS3,TSOP1<1>,Input,,BANK2,,,,,,,
P74,IO,TSOP1<8>,Input,,BANK2,,,,,,,
P1,IO_GTS2,TSOP2<1>,Input,,BANK2,,,,,,,
P75,GND,,,,,,,,,,,
P100,GND,,,,,,,,,,,
P99,IO_GSR,,,,,,,,,,,
P98,VCCIO,,,,,,,,,,,
P97,IO,,,,,,,,,,,
P96,IO,,,,,,,,,,,
P95,IO,,,,,,,,,,,
P94,IO,LED1,Output,,BANK2,,,,,,,
P93,IO,LED2,Output,,BANK2,,,,,,,
P92,IO,,,,,,,,,,,
P91,IO,,,,,,,,,,,
P90,IO,,,,,,,,,,,
P89,IO,,,,,,,,,,,
P88,VCCIO,,,,,,,,,,,
P87,IO,,,,,,,,,,,
P86,IO,,,,,,,,,,,
P85,IO,TSOP1<12>,Input,,BANK2,,,,,,,
P84,GND,,,,,,,,,,,
P83,TDO,,,,,,,,,,,
P82,IO,TSOP2<12>,Input,,BANK2,,,,,,,
P81,IO,TSOP1<13>,Input,,BANK2,,,,,,,
P80,IO,TSOP2<13>,Input,,BANK2,,,,,,,
P79,IO,TSOP1<14>,Input,,BANK2,,,,,,,
P78,IO,TSOP2<14>,Input,,BANK2,,,,,,,
P77,IO,TSOP1<15>,Input,,BANK2,,,,,,,
P76,IO,TSOP2<15>,Input,,BANK2,,,,,,,
